"probeset","qvalue_16h","most_associated_marker_16h","qvalue_32h","most_associated_marker_32h","bb4_expression_pattern","description"
"1200459_Reg_88-1740_at",0.144842543,"5H.15",0.22921759,"3H.55","n/a","From cloning vector pGL3-Basic"
"1289374_Reg_826-1545_at",0.278211767,"1H.03",0.153096597,"1H.18","n/a","Cloning vector phGFP-S65T"
"149174_Reg_66-1115_at",0.072511312,"5H.15",0.184961511,"1H.11","n/a","K. pneumoniae bromoxynil-specific nitrilase (bxn) gene"
"150775_Reg_211-1236_at",0.298418101,"7H.39",0.272117892,"6H.12","n/a","Plasmid pJR225 (from E.coli) hygromycin B phosphotransferase (hgh) gene"
"23381122_R_1101-1898_at",0.102077604,"5H.14",0.100477999,"5H.02","n/a","From binary vector pGV4042"
"2623978_R_1403-2212_at",0.079029993,"4H.10",0.25177104,"3H.57","n/a","Synthetic DNA containing kanamycin and geneticin (G418) resistance gene in Escherichia coli plasmid pFA6a-GFPS65T-kanMX6"
"40321-46140.AF427791_x_at",0.327161599,"3H.58",0.268522087,"5H.19","n/a",NA
"48446_Reg_1231-2205_at",0.077688649,"1H.04",0.164788272,"5H.03","n/a","V.harveyi luxA and luxB genes for luciferase alpha and beta subunits"
"48446_Reg_137-1204_at",0.089065369,"1H.02",0.089556838,"6H.37","n/a","From V. harveyi luxA and luxB genes for luciferase alpha and beta subunits"
"74797-75570.AF427791_x_at",0.069232445,"2H.35",0.135082328,"5H.07","n/a",NA
"8829-9073.AF427791_x_at",0.182706786,"1H.14",0.223998033,"7H.11","n/a",NA
"9507414_R_4264-4644_at",0.181485289,"1H.02",0.053645937,"1H.18","n/a","From complete sequence of plasmid pRL1063a"
"A00196.1_at",0.280724788,"2H.35",0.091686316,"5H.02","n/a","A00196 Synthetic uidA gene for beta-glucuronidase (GUS)"
"A06498.1_s_at",0.054762618,"7H.32",0.074834603,"5H.05","n/a","Artificial sequence for nopaline synthase"
"AB011264_at",0.033724109,"3H.13",0.138678812,"6H.12","n/a","11/06/02 BAA74581.1   0.0 (AB011264) nicochianamine synthase 3 [Hordeum vulgare subsp. vulgare]"
"AB011266_at",0.016592796,"6H.46",1.48e-05,"6H.46","n/a","11/06/02 BAA74583.1   0.0 (AB011266) nicotianamine Synthase 4 [Hordeum vulgare subsp. vulgare]"
"AB019525_at",0.238492522,"7H.06",0.013192896,"6H.37","n/a","11/06/02 BAA74587.1   0.0 (AB019525) nicotianamine synthase 7 [Hordeum vulgare subsp. vulgare]"
"AB024007_at",0.077598478,"1H.26",0.002989354,"2H.63","n/a","11/06/02 BAB07798.1   e-104 (AB024007) IDS3 [Hordeum vulgare subsp. vulgare]"
"AF016328_at",0.131067578,"1H.25",0.015366735,"1H.05","n/a","11/06/02 AAB02259.1   2e-67 permatin precursor"
"AF026538_at",0.049228069,"2H.68",0.042037052,"1H.08","n/a","11/06/02 A59232       e-161 ABA-responsive protein - barley gb|AAD09343.1| (AF026538) ABA-responsive protein [Hordeum vulgare]"
"AF032680_at",0.303459291,"5H.37",0.01142868,"2H.16","n/a","11/06/02 T04384       e-100 NBS-LRR type resistance protein - barley (fragment) gb|AAB96977.1| (AF032680) NBS-LRR type resistance protein [Hordeum vulgare]"
"AF032681_at",0.144623976,"2H.47",0.024945706,"5H.45","n/a","11/06/02 T04385       3e-54 NBS-LRR type resistance protein - barley (fragment) gb|AAB96978.1| (AF032681) NBS-LRR type resistance protein [Hordeum vulgare]"
"AF032682_at",0.295281146,"5H.15",0.178977855,"1H.03","n/a","11/06/02 T04389       e-126 NBS-LRR type resistance protein - barley (fragment) gb|AAB96979.1| (AF032682) NBS-LRR type resistance protein [Hordeum vulgare]"
"AF032683_at",3.63e-06,"2H.49",7.35e-07,"2H.46","n/a","11/06/02 T04390       0.0 NBS-LRR type resistance protein - barley (fragment) gb|AAB96980.1| (AF032683) NBS-LRR type resistance protein [Hordeum vulgare] [Hordeum"
"AF032685_at",0.200481195,"6H.44",0.254625734,"5H.06","n/a","11/06/02 T04392       e-100 NBS-LRR type resistance protein - barley (fragment) gb|AAB96982.1| (AF032685) NBS-LRR type resistance protein [Hordeum vulgare]"
"AF032686_at",0.290549591,"2H.49",0.056011027,"6H.15","n/a","11/06/02 T04393       e-157 NBS-LRR type resistance protein - barley (fragment) gb|AAB96983.1| (AF032686) NBS-LRR type resistance protein [Hordeum vulgare]"
"AF032687_at",0.024839354,"7H.08",1.17e-05,"7H.09","n/a","11/06/02 T04394       e-152 NBS-LRR type resistance protein - barley (fragment) gb|AAB96984.1| (AF032687) NBS-LRR type resistance protein [Hordeum vulgare]"
"AF039024_at",0.191734355,"2H.11",0.07816714,"5H.05","n/a","11/06/02 T04395       2e-38 probable phospholipid transfer protein - barley gb|AAC28263.1| 7 kDa lipid transfer protein [Hordeum vulgare]"
"AF052395_at",0.240569297,"2H.52",0.244440002,"1H.28","n/a","11/06/02 T04396       3e-99 Rlch5 protein - barley (fragment) gb|AAC26501.1| (AF052395) resistance protein [Hordeum vulgare] [Hordeum vulgare"
"AF052396_at",0.190983222,"1H.02",0.232766137,"5H.06","n/a","11/06/02 T04397       e-103 Rlch4 protein - barley (fragment) gb|AAC26502.1| (AF052396) resistance protein [Hordeum vulgare] [Hordeum vulgare"
"AF052397_at",1.99e-06,"2H.65",7.35e-07,"2H.65","n/a","11/06/02 T04398       e-103 hypothetical protein - barley (fragment) gb|AAC26503.1| (AF052397) resistance protein [Hordeum vulgare] [Hordeum vulgare"
"AF064561_at",0.225526417,"3H.10",0.271928671,"7H.62","n/a","11/06/02 AAC69754.1   0.0 (AF064561) starch branching enzyme IIb [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF069331_at",0.143080271,"1H.02",0.150260798,"6H.28","n/a","11/06/02 AAC96100.2   2e-23 low temperature induced protein [Hordeum vulgare]"
"AF069331_s_at",7.82e-05,"2H.46",6.22e-06,"2H.46","n/a","11/06/02 AAC96100.2   2e-23 low temperature induced protein [Hordeum vulgare]"
"AF085165_at",1.99e-06,"1H.04",7.35e-07,"1H.04","PacMan","11/06/02 AAD44030.1   e-147 (AF085165) receptor-like kinase LRK10 [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF085166_at",0.175123736,"2H.68",7.35e-07,"1H.05","PacMan","11/06/02 AAD44031.1   0.0 receptor-like kinase [Hordeum vulgare]"
"AF085166_x_at",0.124838967,"4H.22",7.35e-07,"1H.05","n/a","11/06/02 AAD44031.1   0.0 receptor-like kinase [Hordeum vulgare]"
"AF091115_at",0.217592167,"3H.57",0.140711718,"5H.06","n/a","11/06/02 AAD28363.1   0.0 (AF091115) putative high affinity nitrate transporter [Hordeum vulgare] [Hordeum vulgare subsp. vulgare]"
"AF100770_at",1.99e-06,"3H.05",7.35e-07,"3H.04","PacMan","11/06/02 AAD46419.1   0.0 (AF100770) receptor-like kinase [Hordeum vulgare]"
