"hv_gene","gc_hv_transcript","probeset","gc_percent_coverage","gc_percent_identity"
"HORVU3Hr1G018810","HORVU3Hr1G018810.2","Contig10000_s_at",75.068870523416,100
"HORVU3Hr1G018810","HORVU3Hr1G018810.2","Contig10000_at",75.068870523416,100
"HORVU1Hr1G092440","HORVU1Hr1G092440.3","Contig10006_at",71.8326458456099,100
"HORVU4Hr1G042800","HORVU4Hr1G042800.4","Contig10007_at",94.9866666666667,100
"HORVU4Hr1G020480","HORVU4Hr1G020480.2","Contig10008_at",59.1074681238616,100
"HORVU4Hr1G039880","HORVU4Hr1G039880.1","Contig10009_at",99.9194847020934,99.839
"HORVU1Hr1G075270","HORVU1Hr1G075270.8","Contig10010_at",69.6969696969697,100
"HORVU7Hr1G059800","HORVU7Hr1G059800.2","Contig10011_at",100,100
"HORVU0Hr1G020930","HORVU0Hr1G020930.2","Contig10011_at",100,100
"HORVU0Hr1G020910","HORVU0Hr1G020910.2","Contig10011_at",100,100
"HORVU6Hr1G021170","HORVU6Hr1G021170.1","Contig10012_at",100,100
"HORVU5Hr1G096050","HORVU5Hr1G096050.1","Contig10013_s_at",61.8674698795181,99.903
"HORVU5Hr1G096050","HORVU5Hr1G096050.1","Contig10013_at",61.8674698795181,99.903
"HORVU1Hr1G071890","HORVU1Hr1G071890.16","Contig10015_at",77.124483233808,99.94
"HORVU3Hr1G072230","HORVU3Hr1G072230.3","Contig10017_at",89.5506792058516,99.883
"HORVU3Hr1G087620","HORVU3Hr1G087620.3","Contig10018_at",100,98.563
"HORVU3Hr1G060040","HORVU3Hr1G060040.1","Contig10020_at",100,100
"HORVU2Hr1G084260","HORVU2Hr1G084260.1","Contig10027_at",65.7672849915683,100
"HORVU6Hr1G082360","HORVU6Hr1G082360.1","Contig10029_at",71.8676122931442,98.695
"HORVU5Hr1G116710","HORVU5Hr1G116710.5","Contig1003_at",100,94.197
"HORVU7Hr1G057360","HORVU7Hr1G057360.1","Contig10030_at",88.0952380952381,96.171
"HORVU4Hr1G049090","HORVU4Hr1G049090.1","Contig10031_at",59.5148247978437,100
"HORVU4Hr1G011320","HORVU4Hr1G011320.1","Contig10032_at",78.1209781209781,98.197
"HORVU1Hr1G010130","HORVU1Hr1G010130.1","Contig10034_at",93.2584269662921,100
"HORVU2Hr1G028370","HORVU2Hr1G028370.1","Contig10036_at",100,100
"HORVU6Hr1G033850","HORVU6Hr1G033850.10","Contig10037_at",78.6510590858417,99.717
"HORVU2Hr1G015470","HORVU2Hr1G015470.3","Contig10038_at",82.2222222222222,99.627
"HORVU2Hr1G015480","HORVU2Hr1G015480.1","Contig10038_at",82.2222222222222,99.627
"HORVU3Hr1G026870","HORVU3Hr1G026870.3","Contig10039_at",84.8407643312102,99.925
"HORVU5Hr1G033540","HORVU5Hr1G033540.1","Contig1004_x_at",94.1176470588235,92.987
"HORVU7Hr1G083220","HORVU7Hr1G083220.1","Contig10040_at",100,100
"HORVU3Hr1G087360","HORVU3Hr1G087360.2","Contig10041_at",100,100
"HORVU3Hr1G096500","HORVU3Hr1G096500.10","Contig10043_at",64.5008860011813,78.213
"HORVU0Hr1G012190","HORVU0Hr1G012190.9","Contig10045_at",66.890756302521,100
"HORVU2Hr1G120260","HORVU2Hr1G120260.3","Contig10046_at",100,99.353
"HORVU5Hr1G039430","HORVU5Hr1G039430.3","Contig10047_at",55.4959785522788,99.195
"HORVU1Hr1G085730","HORVU1Hr1G085730.2","Contig10050_s_at",75.0862663906142,99.54
"HORVU5Hr1G018240","HORVU5Hr1G018240.1","Contig10052_at",100,99.785
"HORVU3Hr1G007410","HORVU3Hr1G007410.2","Contig10053_at",100,99.786
"HORVU3Hr1G007410","HORVU3Hr1G007410.2","Contig10054_at",50,93.165
"HORVU3Hr1G007410","HORVU3Hr1G007410.2","Contig10054_s_at",50,93.165
"HORVU0Hr1G022300","HORVU0Hr1G022300.4","Contig10055_at",87.8518518518518,99.831
"HORVU3Hr1G098340","HORVU3Hr1G098340.3","Contig10057_s_at",90.0108577633007,99.879
